"","game_n","indicator","loc","loc_2","h_a","miles","n_veh","transp_type","co_2gas","pop_trip","co_2pcap"
"1",1,"mice","Hamilton","College","Home","0",1,"none","0",31,0
"2",2,"mice","Saint","Michael","Away","192.1",1,"pete","155.2168",31,5.0069935483871
"3",3,"mice","SUNY","Geneseo","Away","341.4",1,"pete","275.8512",31,8.89842580645161
"4",4,"mice","Babson","College","Home","0",1,"none","0",31,0
"5",5,"mice","Wesleyan","University","Home","0",1,"none","0",31,0
"6",6,"mice","Trinity","College","Home","0",1,"none","0",31,0
"7",7,"mice","Williams","College","Home","0",1,"none","0",31,0
"8",8,"mice","Middlebury","College","Home","0",1,"none","0",31,0
"9",9,"mice","Nazareth","College","Home","0",1,"none","0",31,0
"10",10,"mice","Nazareth","College","Home","0",1,"none","0",31,0
"11",11,"mice","Bowdoin","College","Away","200",1,"pete","161.6",31,5.21290322580645
"12",12,"mice","Colby","College","Away","259",1,"pete","209.272",31,6.75070967741935
"13",13,"mice","Tufts","University","Away","87.7",1,"pete","70.8616",31,2.28585806451613
"14",14,"mice","Connecticut","College","Away","99",1,"pete","79.992",31,2.58038709677419
"15",15,"mice","Hamilton","College","Away","205",1,"pete","165.64",31,5.34322580645161
"16",16,"mice","Anna","Maria","Home","0",1,"none","0",31,0
"17",17,"mice","Wesleyan","University","Away","66.9",1,"pete","54.0552",31,1.74371612903226
"18",18,"mice","Trinity","College","Away","52.4",1,"pete","42.3392",31,1.36578064516129
"19",19,"mice","Bowdoin","College","Home","0",1,"none","0",31,0
"20",20,"mice","Colby","College","Home","0",1,"none","0",31,0
"21",21,"mice","Tufts","University","Home","0",1,"none","0",31,0
"22",22,"mice","Connecticut","College","Home","0",1,"none","0",31,0
"23",23,"mice","Williams","College","Away","59.8",1,"pete","48.3184",31,1.55865806451613
"24",24,"mice","Middlebury","College","Away","85",1,"pete","68.68",31,2.21548387096774
"25",25,"mice","Tufts","University","Home","0",1,"none","0",31,0
"26",26,"mice","Williams","College","Home","0",1,"none","0",31,0
"27",1,"wice","Hamilton","College","Home","0",1,"none","0",25,0
"28",2,"wice","Hamilton","College","Home","0",1,"none","0",25,0
"29",3,"wice","University","of","Away","50.6",1,"pete","40.8848",25,1.635392
"30",4,"wice","Manhattanville","College","Away","136",1,"pete","109.888",25,4.39552
"31",5,"wice","Middlebury","College","Away","85",1,"pete","68.68",25,2.7472
"32",6,"wice","Middlebury","College","Away","85",1,"pete","68.68",25,2.7472
"33",7,"wice","Johnson","Wales","Away","86.3",1,"pete","69.7304",25,2.789216
"34",8,"wice","Curry","College","Home","0",1,"none","0",25,0
"35",9,"wice","UMass","Boston","Home","0",1,"none","0",25,0
"36",10,"wice","Oswego","State","Away","272.8",1,"pete","220.4224",25,8.816896
"37",11,"wice","Trinity","College","Home","0",1,"none","0",25,0
"38",12,"wice","Trinity","College","Home","0",1,"none","0",25,0
"39",13,"wice","Connecticut","College","Home","0",1,"none","0",25,0
"40",14,"wice","Connecticut","College","Home","0",1,"none","0",25,0
"41",15,"wice","Norwich","University","Home","0",1,"none","0",25,0
"42",16,"wice","Wesleyan","University","Away","66.9",1,"pete","54.0552",25,2.162208
"43",17,"wice","Wesleyan","University","Away","66.9",1,"pete","54.0552",25,2.162208
"44",18,"wice","Bowdoin","College","Home","0",1,"none","0",25,0
"45",19,"wice","Bowdoin","College","Home","0",1,"none","0",25,0
"46",20,"wice","Colby","College","Away","259",1,"pete","209.272",25,8.37088
"47",21,"wice","Colby","College","Away","259",1,"pete","209.272",25,8.37088
"48",22,"wice","Suffolk","University","Away","92.3",1,"pete","74.5784",25,2.983136
"49",23,"wice","Williams","College","Home","0",1,"none","0",25,0
"50",24,"wice","Williams","College","Away","59.8",1,"pete","48.3184",25,1.932736
"51",25,"wice","Wesleyan","University","Home","0",1,"none","0",25,0
"52",26,"wice","Middlebury","College","Home","0",1,"none","0",25,0
"53",27,"wice","Hamilton","College","Home","0",1,"none","0",25,0
"54",28,"wice","Colby","College","Home","0",1,"none","0",25,0
"55",29,"wice","Hamilton","College","Home","0",1,"none","0",25,0
"56",30,"wice","Gustavus","Adolphus","Home","0",1,"none","0",25,0
"57",1,"mbball","Albertus","Magnus","Away","89",1,"pete","71.912",18,3.99511111111111
"58",2,"mbball","University","of","Neutral","0",1,"none","0",18,0
"59",3,"mbball","Marymount","University","Away","403",1,"pete","325.624",18,18.0902222222222
"60",4,"mbball","Babson","College","Away","83.9",1,"pete","67.7912",18,3.76617777777778
"61",5,"mbball","Yeshiva","University","Away","157",1,"pete","126.856",18,7.04755555555556
"62",6,"mbball","Northern","Vermont","Home","0",1,"none","0",18,0
"63",7,"mbball","Colby","Sawyer","Away","259",1,"pete","209.272",18,11.6262222222222
"64",8,"mbball","Springfield","College","Home","0",1,"none","0",18,0
"65",9,"mbball","Eastern","Nazarene","Home","0",1,"none","0",18,0
"66",10,"mbball","University","of","Away","50.6",1,"pete","40.8848",18,2.27137777777778
"67",11,"mbball","Wesleyan","University","Away","66.9",1,"pete","54.0552",18,3.00306666666667
"68",12,"mbball","Williams","College","Home","0",1,"none","0",18,0
"69",13,"mbball","Middlebury","College","Home","0",1,"none","0",18,0
"70",14,"mbball","Tufts","University","Away","87.7",1,"pete","70.8616",18,3.93675555555556
"71",15,"mbball","Bates","College","Away","207",1,"pete","167.256",18,9.292
"72",16,"mbball","Williams","College","Away","59.8",1,"pete","48.3184",18,2.68435555555556
"73",17,"mbball","Hamilton","College","Away","205",1,"pete","165.64",18,9.20222222222222
"74",18,"mbball","Westfield","State","Away","29.9",1,"pete","24.1592",18,1.34217777777778
"75",19,"mbball","Wesleyan","University","Home","0",1,"none","0",18,0
"76",20,"mbball","Trinity","College","Home","0",1,"none","0",18,0
"77",21,"mbball","Connecticut","College","Home","0",1,"none","0",18,0
"78",22,"mbball","Pratt","Institute","Home","0",1,"none","0",18,0
